epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.20673,1.60463,4.67497,1.47357,0.00167,0.5,0.0019,0.00057,1.41122,4.44433,1.9347,0,0,0,0,0,0,0,0
2,15.8649,1.52105,4.59981,1.3975,0.00167,0.5,0.00192,0.00077,1.39087,4.42326,1.91912,5.9406e-05,1.9802e-05,5.9406e-05,1.9802e-05,5.9406e-05,1.9802e-05,5.9406e-05,1.9802e-05
3,23.6076,1.5168,4.55831,1.31608,0.00167,0.5,0.00195,0.00078,1.37987,4.41711,1.90983,0.000117624,3.9208e-05,0.000117624,3.9208e-05,0.000117624,3.9208e-05,0.000117624,3.9208e-05
4,31.2585,1.42985,4.56786,1.39975,0.00167,0.5,0.00196,0.00098,1.34522,4.43596,1.87888,0.000174654,5.8218e-05,0.000174654,5.8218e-05,0.000174654,5.8218e-05,0.000174654,5.8218e-05
5,39.0017,1.19533,4.21436,1.20792,0.00167,0.5,0.00197,0.00098,1.2839,4.50423,1.82215,0.000230496,7.6832e-05,0.000230496,7.6832e-05,0.000230496,7.6832e-05,0.000230496,7.6832e-05
6,46.5638,1.67113,4.73435,1.42389,0.00167,0.5,0.002,0.001,1.29775,4.47899,1.80543,0.00028515,9.505e-05,0.00028515,9.505e-05,0.00028515,9.505e-05,0.00028515,9.505e-05
7,54.3681,1.3112,4.47739,1.33951,0.00167,0.5,0.00201,0.001,1.3075,4.44844,1.80764,0.000338616,0.000112872,0.000338616,0.000112872,0.000338616,0.000112872,0.000338616,0.000112872
8,62.1405,1.56634,4.4021,1.36627,0.00167,0.5,0.00203,0.00102,1.3372,4.4068,1.78795,0.000390894,0.000130298,0.000390894,0.000130298,0.000390894,0.000130298,0.000390894,0.000130298
9,70.0893,1.46348,4.47427,1.31506,0.00167,0.5,0.00205,0.00102,1.37362,4.34916,1.78654,0.000441984,0.000147328,0.000441984,0.000147328,0.000441984,0.000147328,0.000441984,0.000147328
10,79.6542,1.50582,4.20305,1.36546,0.00167,0.5,0.0021,0.00105,1.4141,4.26791,1.78607,0.000491886,0.000163962,0.000491886,0.000163962,0.000491886,0.000163962,0.000491886,0.000163962
11,89.2811,1.05569,4.31409,1.27745,0.00167,0.5,0.00211,0.00106,1.38307,4.24079,1.73496,0.0005406,0.0001802,0.0005406,0.0001802,0.0005406,0.0001802,0.0005406,0.0001802
12,99.115,0.91004,4.17922,1.06184,0.00167,0.5,0.00217,0.00109,1.34546,4.26224,1.65408,0.000588126,0.000196042,0.000588126,0.000196042,0.000588126,0.000196042,0.000588126,0.000196042
13,108.756,1.00582,4.22256,1.24903,0.00333,1,0.00392,0.00127,1.35982,4.20942,1.6346,0.000634464,0.000211488,0.000634464,0.000211488,0.000634464,0.000211488,0.000634464,0.000211488
14,118.265,1.09963,4.16845,1.18262,0.00333,1,0.00373,0.0014,1.39981,4.15025,1.60729,0.000679614,0.000226538,0.000679614,0.000226538,0.000679614,0.000226538,0.000679614,0.000226538
15,127.828,1.15713,4.3012,1.14164,0.00333,1,0.00361,0.00166,1.3852,4.15635,1.57543,0.000723576,0.000241192,0.000723576,0.000241192,0.000723576,0.000241192,0.000723576,0.000241192
16,137.194,1.03651,4.22022,1.15655,0.00333,1,0.00359,0.00179,1.42877,4.15034,1.5318,0.00076635,0.00025545,0.00076635,0.00025545,0.00076635,0.00025545,0.00076635,0.00025545
17,146.394,0.9182,4.09888,1.07801,0.00333,1,0.00358,0.00179,1.43474,4.11563,1.4798,0.000807936,0.000269312,0.000807936,0.000269312,0.000807936,0.000269312,0.000807936,0.000269312
18,148.694,1.08761,3.94538,1.12061,0.00333,1,0.00358,0.00179,1.43474,4.11563,1.4798,0.000848334,0.000282778,0.000848334,0.000282778,0.000848334,0.000282778,0.000848334,0.000282778
19,157.502,0.76499,3.91093,1.05966,0.00333,1,0.00359,0.00216,1.44497,3.94107,1.38706,0.000887544,0.000295848,0.000887544,0.000295848,0.000887544,0.000295848,0.000887544,0.000295848
20,159.764,0.87864,4.21022,1.01887,0.00333,1,0.00359,0.00216,1.44497,3.94107,1.38706,0.000925566,0.000308522,0.000925566,0.000308522,0.000925566,0.000308522,0.000925566,0.000308522
21,168.721,1.02895,4.1726,1.03481,0.00167,0.5,0.00228,0.00137,1.41335,3.89924,1.34943,0.0009624,0.0003208,0.0009624,0.0003208,0.0009624,0.0003208,0.0009624,0.0003208
